學號	姓名	系所	性別	生日	電話	Email	住址
A0012	李大同	地球科學系	男	1996/2/8	0921-258147	amazingpeopel@hotmail.com	台南縣麻豆鎮興中路169號之4
A0013	方鎮深	資訊工程系	男	1998/12/25	0916-227744	applepie1245@hotmail.com	高雄市前鎮區前鎮街217號一樓
A0014	蔡豪鈞	數學系	男	1997/6/7	0939-565688	greenpower@yahoo.com.tw	高雄縣鳳山市自強一路119巷55號
A0015	何茂宗	資訊傳播學系	男	1994/5/4	0988-123456	defg2@hotmail.com.tw	台南縣佳里鎮建南街161號
A0016	謝明達	資訊多媒體應用學系	男	1994/10/12	0953-222333	enjoyed@hotmail.com.tw	台南縣佳里鎮延平路280號
A0025	陳淑慧	光電與通訊學系	女	1995/8/25	0935-123456	ptregfd14@gmail.com	高雄市楠梓區宏平二路25號
A0026	楊銘哲	資訊傳播學系	男	1998/12/21	0921-333666	xyyzt@hotmail.com	台南市東區東寧路235號
A0027	張財全	資訊多媒體應用學系	男	1997/8/16	0934-252528	happyness1515@gmail.com	台南縣佳里鎮延平路356號
A0028	施易	資訊傳播學系	男	1996/8/2	0914-225588	undetstand@gmail.com	台南市東區林森路一段160號7樓之2
A0078	朱良志	資訊工程系	男	1996/8/21	0982-222777	ghfjdk@hotmail.com.tw	台南市南區郡南里中華南路二段70號2樓
A0079	宋一新	資訊工程系	男	1998/5/21	0928-363636	supercode.gung@gmail.com	高雄市苓雅區建國一路140巷7號
A1033	林茂森	經營管理學系	男	1997/5/21	0918-223333	goodsneaker@hotmail.com	高雄市新興區六合一路79號
A1034	王小慧	資訊傳播學系	女	1997/6/3	0933-834477	qwerdf1212@yahoo.com	台南縣安定鄉安定村47-16號
A1035	李火木	化學系	男	1994/1/25	0914-121236	marktzuing@outlook.com	高雄市左營區南屏路406號
A1036	陳翔飛	化學系	男	1994/7/25	0938-383855	question1995@facebook.com	台南市文賢一路308號
A1037	馬立光	光電與通訊學系	男	1998/12/11	0955-357951	music2258@outlook.com	高雄市三民區義華路209號1-4樓
